employeeId,locationId,roleId,startTime,endTime,notes
10,1,2,2026-05-12T09:00:00Z,2026-05-12T17:00:00Z,Manager shift - Jane
9,1,1,2026-05-12T09:00:00Z,2026-05-12T17:00:00Z,Cashier shift - John
13,1,3,2026-05-12T10:00:00Z,2026-05-12T18:00:00Z,Stock shift - Chris
10,1,2,2026-05-13T09:00:00Z,2026-05-13T17:00:00Z,Manager shift - Jane
14,1,1,2026-05-13T09:00:00Z,2026-05-13T17:00:00Z,Cashier shift - Ashley
15,1,3,2026-05-13T10:00:00Z,2026-05-13T18:00:00Z,Stock shift - Kevin
10,1,2,2026-05-14T09:00:00Z,2026-05-14T17:00:00Z,Manager shift - Jane
16,1,1,2026-05-14T09:00:00Z,2026-05-14T17:00:00Z,Cashier shift - Laura
13,1,3,2026-05-14T10:00:00Z,2026-05-14T18:00:00Z,Stock shift - Chris
10,1,2,2026-05-15T09:00:00Z,2026-05-15T17:00:00Z,Manager shift - Jane
9,1,1,2026-05-15T09:00:00Z,2026-05-15T17:00:00Z,Cashier shift - John
15,1,3,2026-05-15T10:00:00Z,2026-05-15T18:00:00Z,Stock shift - Kevin
10,1,2,2026-05-16T09:00:00Z,2026-05-16T17:00:00Z,Manager shift - Jane
14,1,1,2026-05-16T09:00:00Z,2026-05-16T17:00:00Z,Cashier shift - Ashley
16,1,3,2026-05-16T10:00:00Z,2026-05-16T18:00:00Z,Stock shift - Laura
10,1,2,2026-05-17T09:00:00Z,2026-05-17T17:00:00Z,Manager shift - Jane
13,1,1,2026-05-17T09:00:00Z,2026-05-17T17:00:00Z,Cashier shift - Chris
9,1,3,2026-05-17T10:00:00Z,2026-05-17T18:00:00Z,Stock shift - John
10,1,2,2026-05-18T09:00:00Z,2026-05-18T17:00:00Z,Manager shift - Jane
16,1,1,2026-05-18T09:00:00Z,2026-05-18T17:00:00Z,Cashier shift - Laura
14,1,3,2026-05-18T10:00:00Z,2026-05-18T18:00:00Z,Stock shift - Ashley
